[2025-08-23 15:05:25.011303647] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.014207429] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.017024647] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.019886584] hello sys_write was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.022590965] hello sys_read was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:25.025375157] hello sys_read was called by sshd (PID: 499443, TGID: 499443)
[2025-08-23 15:05:25.028094771] hello sys_write was called by sshd (PID: 499443, TGID: 499443)
[2025-08-23 15:05:25.030928356] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.033740232] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.036616851] hello sys_read was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.039470785] hello sys_read was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.042423952] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.045188827] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.048077302] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.050998591] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.053992883] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.056937074] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.060229277] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.063159671] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.065987910] hello sys_write was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.068905307] hello sys_read was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:25.071831436] hello sys_read was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:25.074987547] hello sys_write was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:25.078170114] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.081360000] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.084245379] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.086976585] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.089827119] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.092687603] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.095504808] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.098209374] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.101420628] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.104265965] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.107129011] hello sys_write was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.109883554] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.112993076] hello sys_write was called by node (PID: 499580, TGID: 499570)
[2025-08-23 15:05:25.115970761] hello sys_read was called by sshd (PID: 499443, TGID: 499443)
[2025-08-23 15:05:25.118750546] hello sys_write was called by sshd (PID: 499443, TGID: 499443)
[2025-08-23 15:05:25.122004573] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.124983395] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.128074967] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.130959579] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.133965576] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.136791175] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.139724999] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.142735764] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.145603554] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.148504335] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.151523474] hello sys_read was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:25.154686377] hello sys_read was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:25.157780972] hello sys_write was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:25.160560332] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.163300989] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.166203121] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.169354472] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.172105129] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.174847419] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.177737170] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.180509261] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.183548145] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.186683752] hello sys_write was called by node (PID: 499578, TGID: 499570)
[2025-08-23 15:05:25.189511757] hello sys_write was called by node (PID: 499580, TGID: 499570)
[2025-08-23 15:05:25.192376020] hello sys_read was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:25.195197962] hello sys_write was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:25.198132895] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.201016976] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.203829819] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.206644160] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.209550202] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.212577513] hello sys_write was called by node (PID: 499581, TGID: 499570)
[2025-08-23 15:05:25.215532837] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.218392467] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.221240115] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.224053250] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.226976594] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.229703745] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.232577720] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.235431410] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.238204313] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.240881434] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.243709629] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.246634411] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.249715893] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.252759531] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.255699654] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.258588363] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.261474263] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.264384570] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.267418917] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.270315004] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.273165886] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.275953662] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
